   r (Ang),     Ga-Ga,     Ga-P ,     Ga-O ,     P-P  ,     P-O  ,     O-O  
   0.51500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.52500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.53500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.54500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.55500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.56500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.57500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.58500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.59500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.60500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.61500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.62500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.63500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.64500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.65500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.66500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.67500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.68500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.69500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.70500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.71500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.72500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.73500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.74500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.75500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.76500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.77500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.78500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.79500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.80500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.81500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.82500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.83500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.84500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.85500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.86500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.87500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.88500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.89500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.90500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.91500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.92500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.93500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.94500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.95500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.96500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.97500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.98500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.99500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.00500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.01500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.02500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.03500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.04500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.05500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.06500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.07500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.08500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.09500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.10500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.11500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.12500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.13500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.14500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.15500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.16500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.17500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.18500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.19500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.20500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.21500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.22500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.23500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.24500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.25500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.26500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.27500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.28500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.29500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.30500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.31500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.32500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.33500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.34500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.35500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.36500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.37500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.38500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.39500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.40500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.41500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.42500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.43500,   0.00000,   0.00000,   0.00000,   0.00000,   0.76575,   0.00000
   1.44500,   0.00000,   0.00000,   0.00000,   0.00000,   3.77613,   0.00000
   1.45500,   0.00000,   0.00000,   0.00000,   0.00000,   3.72458,   0.00000
   1.46500,   0.00000,   0.00000,   0.00000,   0.00000,  11.75706,   0.00000
   1.47500,   0.00000,   0.00000,   0.00000,   0.00000,   7.24920,   0.00000
   1.48500,   0.00000,   0.00000,   0.00000,   0.00000,  20.02622,   0.00000
   1.49500,   0.00000,   0.00000,   0.00000,   0.00000,  13.40864,   0.00000
   1.50500,   0.00000,   0.00000,   0.00000,   0.00000,  27.15966,   0.00000
   1.51500,   0.00000,   0.00000,   0.00000,   0.00000,  20.61806,   0.00000
   1.52500,   0.00000,   0.00000,   0.00000,   0.00000,  31.20245,   0.00000
   1.53500,   0.00000,   0.00000,   0.00000,   0.00000,  20.08600,   0.00000
   1.54500,   0.00000,   0.00000,   0.00000,   0.00000,  26.43689,   0.00000
   1.55500,   0.00000,   0.00000,   0.00000,   0.00000,  16.96438,   0.00000
   1.56500,   0.00000,   0.00000,   0.00000,   0.00000,  19.96991,   0.00000
   1.57500,   0.00000,   0.00000,   0.00000,   0.00000,  10.81306,   0.00000
   1.58500,   0.00000,   0.00000,   0.00000,   0.00000,  17.58643,   0.00000
   1.59500,   0.00000,   0.00000,   0.00000,   0.00000,   3.10130,   0.00000
   1.60500,   0.00000,   0.00000,   0.00000,   0.00000,   4.28805,   0.00000
   1.61500,   0.00000,   0.00000,   0.00000,   0.00000,   0.60504,   0.00000
   1.62500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.63500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.64500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.65500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.66500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.67500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.68500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.69500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.70500,   0.00000,   0.00000,   0.54303,   0.00000,   0.00000,   0.00000
   1.71500,   0.00000,   0.00000,   1.07346,   0.00000,   0.00000,   0.00000
   1.72500,   0.00000,   0.00000,   3.18327,   0.00000,   0.00000,   0.00000
   1.73500,   0.00000,   0.00000,   3.14678,   0.00000,   0.00000,   0.00000
   1.74500,   0.00000,   0.00000,   5.18487,   0.00000,   0.00000,   0.00000
   1.75500,   0.00000,   0.00000,   8.20179,   0.00000,   0.00000,   0.00000
   1.76500,   0.00000,   0.00000,  10.64356,   0.00000,   0.00000,   0.00000
   1.77500,   0.00000,   0.00000,  12.52893,   0.00000,   0.00000,   0.00000
   1.78500,   0.00000,   0.00000,  10.40704,   0.00000,   0.00000,   0.00000
   1.79500,   0.00000,   0.00000,  12.74214,   0.00000,   0.00000,   0.00000
   1.80500,   0.00000,   0.00000,  19.38728,   0.00000,   0.00000,   0.00000
   1.81500,   0.00000,   0.00000,  10.06678,   0.00000,   0.00000,   0.00000
   1.82500,   0.00000,   0.00000,  13.75023,   0.00000,   0.00000,   0.00000
   1.83500,   0.00000,   0.00000,  10.78714,   0.00000,   0.00000,   0.00000
   1.84500,   0.00000,   0.00000,  14.84638,   0.00000,   0.00000,   0.00000
   1.85500,   0.00000,   0.00000,   9.17948,   0.00000,   0.00000,   0.00000
   1.86500,   0.00000,   0.00000,  10.44381,   0.00000,   0.00000,   0.00000
   1.87500,   0.00000,   0.00000,   5.84039,   0.00000,   0.00000,   0.00000
   1.88500,   0.00000,   0.00000,   5.77875,   0.00000,   0.00000,   0.00000
   1.89500,   0.00000,   0.00000,   5.27823,   0.00000,   0.00000,   0.00000
   1.90500,   0.00000,   0.00000,   3.91733,   0.00000,   0.00000,   0.00000
   1.91500,   0.00000,   0.00000,   2.15368,   0.00000,   0.00000,   0.00000
   1.92500,   0.00000,   0.00000,   2.98399,   0.00000,   0.00000,   0.00000
   1.93500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.94500,   0.00000,   0.00000,   0.83517,   0.00000,   0.00000,   0.00000
   1.95500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.96500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.97500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.98500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   1.99500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.00500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.01500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.02500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.03500,   0.00000,   0.00000,   0.38155,   0.00000,   0.00000,   0.00000
   2.04500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.05500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.06500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.07500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.08500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.09500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.10500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.11500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.12500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.13500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.14500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.15500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.16500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.17500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.18500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.19500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.20500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.21500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.22500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.23500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.24500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.25500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.26500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.27500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.28500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.29500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.30500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.31500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.32500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.33500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.72497
   2.34500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.43129
   2.35500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.57019
   2.36500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.84808
   2.37500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.12130
   2.38500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.36286
   2.39500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.96485
   2.40500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.91372
   2.41500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.57577
   2.42500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.88235
   2.43500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.06713
   2.44500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.17441
   2.45500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.80463
   2.46500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   4.42456
   2.47500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   4.00169
   2.48500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.58545
   2.49500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.93791
   2.50500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   4.78873
   2.51500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.62561
   2.52500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.72104
   2.53500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.81486
   2.54500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.80823
   2.55500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.54404
   2.56500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.52428
   2.57500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.43129
   2.58500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.13038
   2.59500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.93957
   2.60500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.28202
   2.61500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.80962
   2.62500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.45913
   2.63500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.56957
   2.64500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.45222
   2.65500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.33662
   2.66500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.33411
   2.67500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.22108
   2.68500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.21944
   2.69500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.70500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.32432
   2.71500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.42925
   2.72500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.10653
   2.73500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.42300
   2.74500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   2.75500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.31267
   2.76500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.51736
   2.77500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.92457
   2.78500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.40798
   2.79500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.81014
   2.80500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00548
   2.81500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.69885
   2.82500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.09045
   2.83500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.57495
   2.84500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.17294
   2.85500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.55300
   2.86500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.34943
   2.87500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.01011
   2.88500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.09128
   2.89500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.60486
   2.90500,   0.00000,   0.75005,   0.00000,   0.00000,   0.00000,   2.15639
   2.91500,   0.00000,   0.74492,   0.00000,   0.00000,   0.00000,   1.30361
   2.92500,   0.00000,   0.73984,   0.00000,   0.00000,   0.00000,   2.12705
   2.93500,   0.00000,   3.67409,   0.00000,   0.00000,   0.00000,   2.38816
   2.94500,   0.00000,   1.45969,   0.00000,   0.00000,   0.00000,   2.46323
   2.95500,   0.00000,   3.62461,   0.00000,   0.00000,   0.00000,   1.54046
   2.96500,   0.00000,   5.76039,   0.00000,   0.00000,   0.00000,   2.16015
   2.97500,   0.00000,   5.72179,   0.00000,   0.00000,   0.00000,   2.05627
   2.98500,   0.00000,   4.97314,   0.00000,   0.00000,   0.00000,   2.39776
   2.99500,   0.00000,   7.05720,   0.00000,   0.00000,   0.00000,   2.47002
   3.00500,   0.00000,   9.81454,   0.00000,   0.00000,   0.00000,   2.10312
   3.01500,   0.00000,  11.14246,   0.00000,   0.00000,   0.00000,   2.69856
   3.02500,   0.00000,   8.30177,   0.00000,   0.00000,   0.00000,   1.81601
   3.03500,   0.00000,   4.12362,   0.00000,   0.00000,   0.00000,   3.09272
   3.04500,   0.00000,  13.65542,   0.00000,   0.00000,   0.00000,   2.56039
   3.05500,   0.00000,  12.20969,   0.00000,   0.00000,   0.00000,   2.54368
   3.06500,   0.00000,  15.49979,   0.00000,   0.00000,   0.00000,   1.85324
   3.07500,   0.00000,  18.07745,   0.16738,   0.00000,   0.00000,   1.84122
   3.08500,   0.00000,  14.63459,   0.00000,   0.00000,   0.00000,   2.32823
   3.09500,   0.00000,  15.86217,   0.00000,   0.00000,   0.00000,   1.98277
   3.10500,   0.00000,  11.16357,   0.32834,   0.00000,   0.00000,   2.29838
   3.11500,   0.00000,  16.31194,   0.00000,   0.00000,   0.00000,   1.71275
   3.12500,   0.00000,  12.31799,   0.32416,   0.00000,   0.00000,   1.37767
   3.13500,   0.00000,  12.23965,   0.16105,   0.00000,   0.00000,   2.25467
   3.14500,   0.00000,   9.60163,   0.32005,   0.00000,   0.00000,   2.24038
   3.15500,   0.00000,   7.63277,   0.47705,   0.00000,   0.00000,   1.43114
   3.16500,   0.00000,   5.05646,   1.42213,   0.00000,   0.00000,   2.92326
   3.17500,   0.00000,   4.39662,   0.78511,   0.00000,   0.15702,   1.49171
   3.18500,   0.00000,   4.36910,   0.93623,   0.00000,   0.15604,   1.63841
   3.19500,   0.00000,   2.48105,   0.93039,   0.00000,   0.15507,   1.86078
   3.20500,   0.00000,   3.69842,   0.92460,   0.00000,   0.00000,   1.54101
   3.21500,   0.00000,   2.45032,   1.07202,   0.00000,   0.30629,   1.37831
   3.22500,   0.00000,   1.21759,   1.52198,   0.00000,   0.00000,   1.52198
   3.23500,   0.00000,   0.60504,   0.90756,   0.00000,   0.30252,   1.73949
   3.24500,   0.00000,   0.60132,   2.10463,   0.00000,   0.15033,   1.12748
   3.25500,   0.00000,   0.59764,   1.49410,   0.00000,   0.29882,   0.82176
   3.26500,   0.00000,   1.18798,   1.78197,   0.00000,   0.74249,   1.11373
   3.27500,   0.00000,   1.18075,   2.21390,   0.00000,   0.29519,   1.03315
   3.28500,   0.00000,   0.00000,   2.64056,   0.00000,   0.14670,   0.80684
   3.29500,   0.00000,   0.00000,   1.89553,   0.00000,   0.43743,   0.80195
